Electoral District Name,Political Affiliation,Candidate's First Name / PrÈnom du candidat,Candidate's Family Name / Nom de famille du candidat
Longueuil--Saint-Hubert,Liberal Party of Canada,Natilien,Joseph
Longueuil--Saint-Hubert,Bloc QuÈbÈcois,Denis,Trudel
Louis-HÈbert,Conservative Party of Canada,Claude,Dussault
Louis-HÈbert,Liberal Party of Canada,JoÎl,Lightbound
Louis-HÈbert,New Democratic Party,Jean-Paul,Lussia‡-Berdou
Louis-HÈbert,People's Party of Canada,Vatthana,Maholy
Louis-HÈbert,Bloc QuÈbÈcois,ValÈrie,Savard
Louis-Saint-Laurent--Akiawenhrahk,Conservative Party of Canada,GÈrard,Deltell
Louis-Saint-Laurent--Akiawenhrahk,New Democratic Party,Colette,Ducharme
Louis-Saint-Laurent--Akiawenhrahk,People's Party of Canada,Anthony,Leclerc
Louis-Saint-Laurent--Akiawenhrahk,Liberal Party of Canada,Rhode-Malaure,Pierre
Louis-Saint-Laurent--Akiawenhrahk,Bloc QuÈbÈcois,Martin,Trudel
Marc-AurËle-Fortin,New Democratic Party,Alexandrah,Cardona-Fortin
Marc-AurËle-Fortin,Liberal Party of Canada,Carlos,Leit„o
Marc-AurËle-Fortin,Conservative Party of Canada,Janina,Moran
Marc-AurËle-Fortin,Bloc QuÈbÈcois,Claude,Tousignant
MÈgantic--L'…rable--LotbiniËre,Conservative Party of Canada,Luc,Berthold
MÈgantic--L'…rable--LotbiniËre,New Democratic Party,Gabriel,D'Astous
MÈgantic--L'…rable--LotbiniËre,Christian Heritage Party of Canada,Yves,Gilbert
MÈgantic--L'…rable--LotbiniËre,Bloc QuÈbÈcois,RÈjean,Hurteau
MÈgantic--L'…rable--LotbiniËre,Liberal Party of Canada,Charles,Mckaig
MÈgantic--L'…rable--LotbiniËre,People's Party of Canada,Marek,Spacek
Mirabel,New Democratic Party,Albert,Batten
Mirabel,Conservative Party of Canada,Serge,Dubord
Mirabel,Liberal Party of Canada,Robert,Fleming
Mirabel,Bloc QuÈbÈcois,Jean-Denis,Garon
Mirabel,Green Party of Canada,Mario,Guay
Mirabel,People's Party of Canada,Christian,Montpetit
Mount Royal,New Democratic Party,Adam,Frank
Mount Royal,Liberal Party of Canada,Anthony,Housefather
Mount Royal,Marxist-Leninist Party of Canada,Diane,Johnston
Mount Royal,Bloc QuÈbÈcois,Yegor,Komarov
Mount Royal,Conservative Party of Canada,Neil,Oberman
Mont-Saint-Bruno--L'Acadie,Conservative Party of Canada,Nicolas,Godin
Mont-Saint-Bruno--L'Acadie,Green Party of Canada,Maria,Korpijaakko
Mont-Saint-Bruno--L'Acadie,New Democratic Party,Mirabelle,Leins
Mont-Saint-Bruno--L'Acadie,Liberal Party of Canada,Bienvenu-Olivier,Ntumba
Mont-Saint-Bruno--L'Acadie,People's Party of Canada,Patrick,Rochon
Mont-Saint-Bruno--L'Acadie,Bloc QuÈbÈcois,NoÈmie,Rouillard
Montcalm,Liberal Party of Canada,Fatima,Badran
Montcalm,Conservative Party of Canada,Jean-SÈbastien,Lepage
Montcalm,New Democratic Party,Denis,Perreault
Montcalm,Bloc QuÈbÈcois,Luc,ThÈriault
Montmorency--Charlevoix,New Democratic Party,GÈrard,Briand
Montmorency--Charlevoix,People's Party of Canada,Bart,Cortenbach
Montmorency--Charlevoix,Bloc QuÈbÈcois,Caroline,Desbiens
Montmorency--Charlevoix,Conservative Party of Canada,Gabriel,Hardy
Montmorency--Charlevoix,Liberal Party of Canada,Alex,Ouellet-BÈlanger
Montmorency--Charlevoix,Green Party of Canada,…lie,Prud'Homme-Tessier
Notre-Dame-de-Gr‚ce--Westmount,Bloc QuÈbÈcois,FÈlix-Antoine,Brault
Notre-Dame-de-Gr‚ce--Westmount,Green Party of Canada,Arnold,Downey
Notre-Dame-de-Gr‚ce--Westmount,Conservative Party of Canada,Neil,Drabkin
Notre-Dame-de-Gr‚ce--Westmount,Liberal Party of Canada,Anna,Gainey
Notre-Dame-de-Gr‚ce--Westmount,Parti RhinocÈros Party,Stephen,Hensley
Notre-Dame-de-Gr‚ce--Westmount,Marxist-Leninist Party of Canada,Rachel,Hoffman
Notre-Dame-de-Gr‚ce--Westmount,New Democratic Party,Malcolm,Lewis-Richmond
Notre-Dame-de-Gr‚ce--Westmount,Independent,Alex Trainman,Montagano
Notre-Dame-de-Gr‚ce--Westmount,People's Party of Canada,Marc,Perez
Outremont,Liberal Party of Canada,Rachel,Bendayan
Outremont,Bloc QuÈbÈcois,RÈmi,Lebeuf
Outremont,New Democratic Party,»ve,PÈclet
Outremont,Green Party of Canada,Jonathan,Pedneault
Outremont,Conservative Party of Canada,Ronan,Reich
Papineau,People's Party of Canada,Noah,Cherney
Papineau,Marxist-Leninist Party of Canada,Garnet,Colly
Papineau,Communist Party of Canada,StÈphane,Doucet
Papineau,Bloc QuÈbÈcois,Sophy,Forget BÈlec
Papineau,Liberal Party of Canada,Marjorie,Michel
Papineau,New Democratic Party,Niall,Ricardo
Papineau,Conservative Party of Canada,Julio,Rivera
Papineau,Parti RhinocÈros Party,Xavier,Watso
Pierre-Boucher--Les Patriotes--VerchËres,Bloc QuÈbÈcois,Xavier,Barsalou-Duval
Pierre-Boucher--Les Patriotes--VerchËres,People's Party of Canada,Alexandre,Blais
Pierre-Boucher--Les Patriotes--VerchËres,Liberal Party of Canada,Laurent,de Casanove
Pierre-Boucher--Les Patriotes--VerchËres,New Democratic Party,Jean-FranÁois,Filion
Pierre-Boucher--Les Patriotes--VerchËres,Conservative Party of Canada,Vincent,Kunda
Pierrefonds--Dollard,Bloc QuÈbÈcois,Katrina,Archambault
Pierrefonds--Dollard,Independent,Shahid,Khan
Pierrefonds--Dollard,New Democratic Party,Kakou Richard,Kouassi
Pierrefonds--Dollard,No Affiliation,Eyad,Mobayed
Pierrefonds--Dollard,People's Party of Canada,Gordon,Nash
Pierrefonds--Dollard,Conservative Party of Canada,Tanya,Toledano
Pierrefonds--Dollard,Liberal Party of Canada,Sameer,Zuberi
Pontiac--Kitigan Zibi,Green Party of Canada,Claude,Bertrand
Pontiac--Kitigan Zibi,Liberal Party of Canada,Sophie,Chatel
Pontiac--Kitigan Zibi,People's Party of Canada,Todd,Hoffman
Pontiac--Kitigan Zibi,Conservative Party of Canada,Brian,Nolan
Pontiac--Kitigan Zibi,Bloc QuÈbÈcois,Suzanne,Proulx
Pontiac--Kitigan Zibi,New Democratic Party,Gilbert W.,Whiteduck
Portneuf--Jacques-Cartier,New Democratic Party,FÈlix,Couture
Portneuf--Jacques-Cartier,People's Party of Canada,Simon,Frenette
Portneuf--Jacques-Cartier,Conservative Party of Canada,JoÎl,Godin
Portneuf--Jacques-Cartier,Bloc QuÈbÈcois,Christian,HÈbert
Portneuf--Jacques-Cartier,Liberal Party of Canada,Antonin,Leroux
Portneuf--Jacques-Cartier,Green Party of Canada,Johann,Queffelec
QuÈbec Centre,Bloc QuÈbÈcois,Simon,BÈrubÈ
QuÈbec Centre,People's Party of Canada,Daniel,Brisson
QuÈbec Centre,New Democratic Party,Tommy,Bureau
QuÈbec Centre,Liberal Party of Canada,Jean-Yves,Duclos
QuÈbec Centre,Independent,Patrick,Kerr
Repentigny,Bloc QuÈbÈcois,Patrick,Bonin
Repentigny,Conservative Party of Canada,Charles,Champagne
Repentigny,New Democratic Party,Nathalie,Gagnon
Repentigny,People's Party of Canada,Benoit,Lanoue
Repentigny,Independent,Ednal,Marc
Repentigny,Liberal Party of Canada,Pierre Richard,Thomas
Richmond--Arthabaska,Parti RhinocÈros Party,RÈal,Batrhino Martel
Richmond--Arthabaska,New Democratic Party,NataÎl,Bureau
Richmond--Arthabaska,People's Party of Canada,Philippe,D'Arcangeli
Richmond--Arthabaska,Independent,Henri,Donascimento
Richmond--Arthabaska,Bloc QuÈbÈcois,Daniel,Lebel
Richmond--Arthabaska,Conservative Party of Canada,Eric,Lefebvre
Richmond--Arthabaska,Liberal Party of Canada,Alain,Saint-Pierre
Rimouski--La MatapÈdia,Independent,RaphaÎl,Arsenault
Rimouski--La MatapÈdia,Bloc QuÈbÈcois,Maxime,Blanchette-Joncas
Rimouski--La MatapÈdia,Independent,NoÈmi,Bureau-Civil
Rimouski--La MatapÈdia,People's Party of Canada,Taraneh,Javanbakht
Rimouski--La MatapÈdia,Conservative Party of Canada,Nancy,Joannette
Rimouski--La MatapÈdia,Independent,Tommy,Lefebvre
Rimouski--La MatapÈdia,Parti RhinocÈros Party,Lysane,Picker-Paquin
Rimouski--La MatapÈdia,Liberal Party of Canada,Alexander,Reford
Rimouski--La MatapÈdia,New Democratic Party,SalomÈ,Salvain
RiviËre-des-Mille-Œles,Bloc QuÈbÈcois,Luc,Desilets
RiviËre-des-Mille-Œles,Independent,Michel,Genois
RiviËre-des-Mille-Œles,New Democratic Party,Joseph,Hakizimana
RiviËre-des-Mille-Œles,Liberal Party of Canada,Linda,Lapointe
RiviËre-des-Mille-Œles,Conservative Party of Canada,Elia,Lopez
RiviËre-des-Mille-Œles,People's Party of Canada,David,Santamaria Quiceno
RiviËre-des-Mille-Œles,Green Party of Canada,Alec,Ware
RiviËre-du-Nord,Bloc QuÈbÈcois,RhÈal,Fortin
RiviËre-du-Nord,New Democratic Party,Christel,Marchand
RiviËre-du-Nord,Conservative Party of Canada,Patricia,Morrissette
RiviËre-du-Nord,Liberal Party of Canada,Mary-Helen,Walton
Rosemont--La Petite-Patrie,New Democratic Party,Alexandre,Boulerice
Rosemont--La Petite-Patrie,Bloc QuÈbÈcois,Olivier,Gignac
Rosemont--La Petite-Patrie,Green Party of Canada,BenoÓt,Morham
Rosemont--La Petite-Patrie,Conservative Party of Canada,Laetitia,Tchatat
Rosemont--La Petite-Patrie,Liberal Party of Canada,Jean-SÈbastien,VallÈe
Saint-Hyacinthe--Bagot--Acton,Liberal Party of Canada,MÈlanie,BÈdard
Saint-Hyacinthe--Bagot--Acton,Conservative Party of Canada,GaÎtan,DeschÍnes
Saint-Hyacinthe--Bagot--Acton,Green Party of Canada,Martin,Grenier
Saint-Hyacinthe--Bagot--Acton,People's Party of Canada,Sylvain,Pariseau
Saint-Hyacinthe--Bagot--Acton,New Democratic Party,Raymonde,Plamondon
Saint-Hyacinthe--Bagot--Acton,Bloc QuÈbÈcois,Simon-Pierre,Savard-Tremblay
Saint-Jean,Liberal Party of Canada,Patrick,Agbokou
Saint-Jean,People's Party of Canada,Tchad,Deschenes
Saint-Jean,New Democratic Party,Danielle,Dubuc
Saint-Jean,Conservative Party of Canada,Marie,Louis-Seize
Saint-Jean,Bloc QuÈbÈcois,Christine,Normandin
Saint-Jean,Green Party of Canada,Vincent,Piette
Saint-Laurent,New Democratic Party,Ryan,Byrne
Saint-Laurent,Green Party of Canada,Richard,Chambers
Saint-Laurent,People's Party of Canada,Manon,Chevalier
Saint-Laurent,Marxist-Leninist Party of Canada,Fernand,Deschamps
Saint-Laurent,Bloc QuÈbÈcois,Marielle,Gendron
Saint-Laurent,Liberal Party of Canada,Emmanuella,Lambropoulos
Saint-Laurent,Conservative Party of Canada,Richard,Serour
Saint-LÈonard--Saint-Michel,New Democratic Party,Marwan,El Attar
Saint-LÈonard--Saint-Michel,Conservative Party of Canada,Panagiota,Koroneos
Saint-LÈonard--Saint-Michel,Liberal Party of Canada,Patricia,Lattanzio
Saint-LÈonard--Saint-Michel,Bloc QuÈbÈcois,Laurie,Lelacheur
Saint-LÈonard--Saint-Michel,People's Party of Canada,Caroline,Mailloux
Saint-Maurice--Champlain,Conservative Party of Canada,Pierre-Augustin,Allard
Saint-Maurice--Champlain,Bloc QuÈbÈcois,Thierry,Bilodeau
Saint-Maurice--Champlain,Liberal Party of Canada,FranÁois-Philippe,Champagne
Saint-Maurice--Champlain,Parti RhinocÈros Party,Dji-PÈ,Frazer
Saint-Maurice--Champlain,New Democratic Party,Nathalie,Garceau
Saint-Maurice--Champlain,Green Party of Canada,Marie-Claude,Gaudet
Saint-Maurice--Champlain,People's Party of Canada,David,Rioux
Shefford,Liberal Party of Canada,Felix,Dionne
Shefford,New Democratic Party,Patrick,Jasmin
Shefford,Bloc QuÈbÈcois,AndrÈanne,Larouche
Shefford,People's Party of Canada,Susanne,Lefebvre
Shefford,Conservative Party of Canada,James,Seale
Sherbrooke,Liberal Party of Canada,…lisabeth,BriËre
Sherbrooke,New Democratic Party,Jean-Pierre,Fortier
Sherbrooke,People's Party of Canada,Alexandre,LÈpine
Sherbrooke,Green Party of Canada,Kevin,McKenna
Sherbrooke,Conservative Party of Canada,Esteban,MÈndez-Hord
Sherbrooke,Bloc QuÈbÈcois,Pierre-…tienne,Rouillard
Terrebonne,Liberal Party of Canada,Tatiana,Auguste
Terrebonne,New Democratic Party,Maxime,Beaudoin
Terrebonne,People's Party of Canada,Maria,Cantore
Terrebonne,Conservative Party of Canada,Adrienne,Charles
Terrebonne,Green Party of Canada,Benjamin,Rankin
Terrebonne,Bloc QuÈbÈcois,Nathalie,Sinclair-DesgagnÈ
ThÈrËse-De Blainville,Conservative Party of Canada,Julie,Bergeron
ThÈrËse-De Blainville,Liberal Party of Canada,Madeleine,Chenette
ThÈrËse-De Blainville,Bloc QuÈbÈcois,Marie-NoÎlle,Closson-Duquette
ThÈrËse-De Blainville,New Democratic Party,Michel,Lacroix
ThÈrËse-De Blainville,People's Party of Canada,Chantal,Lavoie
Trois-RiviËres,Liberal Party of Canada,Caroline,Desrochers
Trois-RiviËres,Parti RhinocÈros Party,Mathieu,Doyon
Trois-RiviËres,Conservative Party of Canada,Yves,Levesque
Trois-RiviËres,People's Party of Canada,Yan,Patry
Trois-RiviËres,New Democratic Party,Matthew,SÈvigny
Trois-RiviËres,Green Party of Canada,David,Turcotte
Trois-RiviËres,Bloc QuÈbÈcois,RenÈ,Villemure
Vaudreuil,Conservative Party of Canada,Thomas,BarrÈ
Vaudreuil,People's Party of Canada,Jean,Boily
Vaudreuil,New Democratic Party,Kalden,Dhatsenpa
Vaudreuil,Green Party of Canada,Dave,Hamelin-Schuilenburg
Vaudreuil,Bloc QuÈbÈcois,Christopher,MassÈ
Vaudreuil,Liberal Party of Canada,Peter,Schiefke
Ville-Marie--Le Sud-Ouest--Œle-des-Soeurs,Parti RhinocÈros Party,Giovanni,Di Placido
Ville-Marie--Le Sud-Ouest--Œle-des-Soeurs,New Democratic Party,Suzanne,Dufresne
Ville-Marie--Le Sud-Ouest--Œle-des-Soeurs,Bloc QuÈbÈcois,Kevin,Majaducon
Ville-Marie--Le Sud-Ouest--Œle-des-Soeurs,Liberal Party of Canada,Marc,Miller
Ville-Marie--Le Sud-Ouest--Œle-des-Soeurs,Green Party of Canada,Nathe,Perrone
Ville-Marie--Le Sud-Ouest--Œle-des-Soeurs,Conservative Party of Canada,Steve,Shanahan
Vimy,Conservative Party of Canada,Grace,Daou
Vimy,Liberal Party of Canada,Annie,Koutrakis
Vimy,New Democratic Party,Cindy,Mercer
Vimy,Bloc QuÈbÈcois,Alicia,Parenteau-Malakhanian
Ajax,Centrist Party of Canada,Faisal,Ali
Ajax,Conservative Party of Canada,Greg,Brady
Ajax,New Democratic Party,Kyle,Forster
Ajax,Liberal Party of Canada,Jennifer,McKelvie
Ajax,Green Party of Canada,Leigh,Paulseth
Algonquin--Renfrew--Pembroke,United Party of Canada (UP),Randy,Briand
Algonquin--Renfrew--Pembroke,Conservative Party of Canada,Cheryl,Gallant
Algonquin--Renfrew--Pembroke,New Democratic Party,Eileen,Jones-Whyte
Algonquin--Renfrew--Pembroke,Independent,Stefan,Klietsch
Algonquin--Renfrew--Pembroke,Independent,Seth,Malina
Algonquin--Renfrew--Pembroke,Liberal Party of Canada,Cyndi,Mills
Algonquin--Renfrew--Pembroke,Green Party of Canada,Danilo,Velasquez
Aurora--Oak Ridges--Richmond Hill,New Democratic Party,Danielle,Maniuk
Aurora--Oak Ridges--Richmond Hill,Conservative Party of Canada,Costas,Menegakis
Aurora--Oak Ridges--Richmond Hill,Green Party of Canada,Tom,Muench
Aurora--Oak Ridges--Richmond Hill,Liberal Party of Canada,Leah,Taylor Roy
Aurora--Oak Ridges--Richmond Hill,People's Party of Canada,Igor,Tvorogov
Barrie South--Innisfil,Conservative Party of Canada,John,Brassard
Barrie South--Innisfil,New Democratic Party,Andrew,Harrigan
Barrie South--Innisfil,Liberal Party of Canada,John,Olthuis
Barrie South--Innisfil,People's Party of Canada,Mark,Sampson
Barrie--Springwater--Oro-Medonte,Conservative Party of Canada,Doug,Shipley
Barrie--Springwater--Oro-Medonte,Communist Party of Canada,Michael,Speers
Barrie--Springwater--Oro-Medonte,Green Party of Canada,Greg,Taylor
Barrie--Springwater--Oro-Medonte,New Democratic Party,Gabriela,Trujillo
Barrie--Springwater--Oro-Medonte,Liberal Party of Canada,Rose,Zacharias
Bay of Quinte,Green Party of Canada,Erica,Charlton
Bay of Quinte,New Democratic Party,Kate,Crothers
Bay of Quinte,Liberal Party of Canada,Chris,Malette
Bay of Quinte,Conservative Party of Canada,Ryan,Williams
Beaches--East York,New Democratic Party,Shannon,Devine
Beaches--East York,Liberal Party of Canada,Nate,Erskine-Smith
Beaches--East York,Independent,Diane,Joseph
Beaches--East York,Green Party of Canada,Jack,Pennings
Beaches--East York,Conservative Party of Canada,Jocelyne,Poirier
Beaches--East York,Communist Party of Canada,Elizabeth,Rowley
Beaches--East York,Marxist-Leninist Party of Canada,Steve,Rutchinski
Bowmanville--Oshawa North,United Party of Canada (UP),Clint,Cole
Bowmanville--Oshawa North,Green Party of Canada,Julie,Dietrich
Bowmanville--Oshawa North,Liberal Party of Canada,Bridget,Girard
Bowmanville--Oshawa North,Independent,Pranay,Gunti
Bowmanville--Oshawa North,Centrist Party of Canada,Ghuzna,Imam
Bowmanville--Oshawa North,Conservative Party of Canada,Jamil,Jivani
Bowmanville--Oshawa North,New Democratic Party,Elenor,Marano
Bowmanville--Oshawa North,Parti RhinocÈros Party,Adam,Smith
Bowmanville--Oshawa North,Christian Heritage Party of Canada,Thomas,Zekveld
Brampton Centre,New Democratic Party,Anil,Boodhai
Brampton Centre,Conservative Party of Canada,Taran,Chahal
Brampton Centre,People's Party of Canada,Harsimran Kaur,Hundal
Brampton Centre,Centrist Party of Canada,Taha,Nazir
Brampton Centre,Green Party of Canada,Ray,Shaver
Brampton Centre,Liberal Party of Canada,Amandeep,Sodhi
Brampton--Chinguacousy Park,Centrist Party of Canada,Hafiz Muneeb,Ahmad
Brampton--Chinguacousy Park,Liberal Party of Canada,Shafqat,Ali
Brampton--Chinguacousy Park,People's Party of Canada,Jayesh,Brahmbhatt
Brampton--Chinguacousy Park,Green Party of Canada,Mike,Dancy
Brampton--Chinguacousy Park,Independent,Avi,Dhaliwal
Brampton--Chinguacousy Park,Conservative Party of Canada,Tim,Iqbal
Brampton--Chinguacousy Park,New Democratic Party,Teresa,Yeh
Brampton East,Centrist Party of Canada,Abdus S,Kissana
Brampton East,People's Party of Canada,Jeff,Lal
Brampton East,Liberal Party of Canada,Maninder,Sidhu
Brampton East,Conservative Party of Canada,Bob Dosanjh,Singh
Brampton East,New Democratic Party,Haramrit,Singh
Brampton North--Caledon,People's Party of Canada,Sat,Anand
Brampton North--Caledon,Conservative Party of Canada,Amandeep,Judge
Brampton North--Caledon,Liberal Party of Canada,Ruby,Sahota
Brampton North--Caledon,New Democratic Party,Ruby,Zaman
Brampton South,Conservative Party of Canada,Sukhdeep,Kang
Brampton South,Independent,Manmohan,Khroud
Brampton South,People's Party of Canada,Vijay,Kumar
Brampton South,New Democratic Party,Rajni,Sharma
Brampton South,Liberal Party of Canada,Sonia,Sidhu
Brampton West,Conservative Party of Canada,Amarjeet,Gill
Brampton West,Centrist Party of Canada,Khawaja Amir,Hassan
Brampton West,New Democratic Party,Zaigham,Javed
Brampton West,Green Party of Canada,Sameera,Khan
Brampton West,Liberal Party of Canada,Kamal,Khera
Brantford--Brant South--Six Nations,Independent,Leslie,Bory
Brantford--Brant South--Six Nations,Conservative Party of Canada,Larry,Brock
Brantford--Brant South--Six Nations,Independent,Mike,Clancy
Brantford--Brant South--Six Nations,Green Party of Canada,Karleigh,Csordas
Brantford--Brant South--Six Nations,New Democratic Party,Anne,Gajerski-Cauley
Brantford--Brant South--Six Nations,Independent,Clo,Marie
Brantford--Brant South--Six Nations,Liberal Party of Canada,Joy,O'Donnell
Brantford--Brant South--Six Nations,People's Party of Canada,Nicholas,Xenos
Bruce--Grey--Owen Sound,Green Party of Canada,Natasha,Akiwenzie
Bruce--Grey--Owen Sound,United Party of Canada (UP),Ann,Gillies
Bruce--Grey--Owen Sound,New Democratic Party,Christopher,Neudorf
Bruce--Grey--Owen Sound,Conservative Party of Canada,Alex,Ruff
Bruce--Grey--Owen Sound,People's Party of Canada,Pavel,Smolko
Bruce--Grey--Owen Sound,Liberal Party of Canada,Anne Marie,Watson
Burlington,People's Party of Canada,Michael,Bator
Burlington,New Democratic Party,Michael,Beauchemin
Burlington,Conservative Party of Canada,Emily,Brown
Burlington,Liberal Party of Canada,Karina,Gould
Burlington,Parti RhinocÈros Party,Paul,Harper
Burlington,Green Party of Canada,Kyle,Hutton
Burlington,Libertarian Party of Canada,Ocean,Marshall
Burlington North--Milton West,New Democratic Party,Naveed,Ahmed
Burlington North--Milton West,Conservative Party of Canada,Nadeem,Akbar
Burlington North--Milton West,Liberal Party of Canada,Adam,Van Koeverden
Burlington North--Milton West,People's Party of Canada,Charles,Zach
Cambridge,Green Party of Canada,Lux,Burgess
Cambridge,Conservative Party of Canada,Connie,Cody
Cambridge,Marxist-Leninist Party of Canada,Manuel,Couto
Cambridge,New Democratic Party,JosÈ,de Lima
Cambridge,Liberal Party of Canada,Bryan,May
Carleton,Independent,Sana,Ahmad
Carleton,Independent,MÈlodie,Anderson
Carleton,Independent,Marthalee,Aykroyd
Carleton,Independent,Alex,Banks
Carleton,Independent,Tetia,Bayoro
Carleton,Independent,Sophie,Bearden
Carleton,Independent,Michael,Bednarski
Carleton,Independent,Line,BÈlanger
Carleton,No Affiliation,Jeani,Boudreault
Carleton,United Party of Canada (UP),Karen,Bourdeau
Carleton,Independent,Alain,Bourgault
Carleton,Independent,John,Boylan
Carleton,Independent,Sarah,Burke
Carleton,Independent,Dante,Camarena Jimenez
Carleton,Independent,Jenny,Cartwright
Carleton,Independent,JaÎl,Champagne Gareau
Carleton,Independent,David,Cherniak
Carleton,Parti RhinocÈros Party,SÈbastien,CoRhino
Carleton,Independent,Charlie,Currie
Carleton,Independent,John,Dale
Carleton,No Affiliation,Manon Marie Lili,Desbiens
Carleton,Independent,Gerrit,Dogger
Carleton,No Affiliation,Ysack,Dupont
Carleton,Independent,Alexandra,Engering
Carleton,Independent,Scott,Falkingham
Carleton,Liberal Party of Canada,Bruce,Fanjoy
Carleton,Independent,Euan,Fraser Tait
Carleton,Independent,Maria,Gabriel
Carleton,Independent,Daniel,Gagnon
Carleton,Independent,Pierre,Gauthier
Carleton,Independent,Gregory,Gillis
Carleton,Independent,Jeffrey,Goodman
Carleton,Independent,Peter,Gorman
Carleton,Independent,Daniel,Graham
Carleton,Independent,Artem,Gudkov
Carleton,Independent,Zornitsa,Halacheva
Carleton,Independent,Anthony,Hamel
Carleton,Independent,Blake,Hamilton
Carleton,Independent,Robert,Harris
Carleton,Independent,Loren,Hicks
Carleton,No Affiliation,Kerri,Hildebrandt
Carleton,Independent,Andrea,Hollinger
Carleton,Independent,Trevor,Holsworth
Carleton,Independent,Seyed,Hosseini Lavasani
Carleton,Independent,Ryan,Huard
Carleton,Independent,Demetrios,Karavas
Carleton,No Affiliation,Laina,Kohler
Carleton,Independent,Kevin,Krisa
Carleton,No Affiliation,Krzysztof,Krzywinski
Carleton,Independent,Dan,Kyung
Carleton,Independent,Samuel,Lafontaine
Carleton,Independent,Alain,Lamontagne
Carleton,Marijuana Party,Danny,LÈgarÈ
Carleton,No Affiliation,Alexander,Lein
Carleton,Independent,Charles,Lemieux
Carleton,Independent,Connie,Lukawski
Carleton,Canadian Future Party,Shawn,MacEachern
Carleton,Independent,Agnieszka,Marszalek
Carleton,Independent,Joseph,Maw
Carleton,Independent,Donald,McKay
Carleton,Independent,Mark,Moutter
Carleton,No Affiliation,Christopher,Navarro-Canseco
Carleton,Independent,Winston,Neutel
Carleton,Independent,David,Nguyen
Carleton,Independent,Sheri,Oberman
Carleton,Independent,John Francis,O'Flynn
Carleton,Independent,LÈny,Painchaud
Carleton,Independent,Lanna,Palsson
Carleton,Independent,Guillaume,Paradis
Carleton,Conservative Party of Canada,Pierre,Poilievre
Carleton,Independent,Lajos,Polya
Carleton,Independent,Lorant,Polya
Carleton,New Democratic Party,Beth,Prokaska
Carleton,Independent,Spencer,Rocchi
Carleton,Independent,Wallace Richard,Rowat
Carleton,Independent,Julian,Selody
Carleton,Independent,Hakim,Sheriff
Carleton,Independent,Roger,Sherwood
Carleton,Independent,Yogo,Shimada
Carleton,Independent,Michael,Skirzynski
Carleton,Independent,Julie,St-Amand
Carleton,Independent,Pascal,St-Amand
Carleton,Independent,Patrick,Strzalkowski
Carleton,Independent,Daniel,Stuckless
Carleton,Independent,Benjamin,Teichman
Carleton,Independent,Sarah,Thompson
Carleton,No Affiliation,Darcy,Vanderwater
Carleton,Independent,Elliot,Wand
Carleton,Green Party of Canada,Mark,Watson
Carleton,Independent,Michal,Wieczorek
Carleton,Independent,David,Zhu
Chatham-Kent--Leamington,Conservative Party of Canada,Dave,Epp
Chatham-Kent--Leamington,People's Party of Canada,Trevor,Lee
Chatham-Kent--Leamington,New Democratic Party,Seamus,McInnis Fleming
Chatham-Kent--Leamington,Liberal Party of Canada,Keith,Pickard
Chatham-Kent--Leamington,Green Party of Canada,James,Plunkett
Davenport,Green Party of Canada,Lilian,Barrera
Davenport,Liberal Party of Canada,Julie,Dzerowicz
Davenport,Conservative Party of Canada,Francis,Lavoie
Davenport,Communist Party of Canada,Dave,McKee
Davenport,New Democratic Party,Sandra,Sousa
Don Valley North,Green Party of Canada,Andrew,Armstrong
Don Valley North,Liberal Party of Canada,Maggie,Chi
Don Valley North,No Affiliation,Xiaohua,Gong
Don Valley North,People's Party of Canada,Ivan,Milivojevic
Don Valley North,New Democratic Party,Naila,Saeed
Don Valley North,Conservative Party of Canada,Joe,Tay
Don Valley West,Independent,Bahira,Abdulsalam
Don Valley West,New Democratic Party,Linnea,Lˆfstrˆm-Abary
Don Valley West,Liberal Party of Canada,Rob,Oliphant
Don Valley West,Conservative Party of Canada,Robert,Pierce
Don Valley West,Green Party of Canada,Sheena,Sharp
Dufferin--Caledon,Green Party of Canada,Ifra,Baig
Dufferin--Caledon,People's Party of Canada,Dympna,Carolan
Dufferin--Caledon,Liberal Party of Canada,Malalai,Halimi
Dufferin--Caledon,Independent,Jeffrey,Halsall
Dufferin--Caledon,New Democratic Party,Viktor,Karklins
Dufferin--Caledon,Conservative Party of Canada,Kyle,Seeback
Eglinton--Lawrence,Green Party of Canada,Wayne,Chechuevskiy
Eglinton--Lawrence,Liberal Party of Canada,Vince,Gasparro
Eglinton--Lawrence,People's Party of Canada,Timothy,Gleeson
Eglinton--Lawrence,Conservative Party of Canada,Karen,Stintz
Eglinton--Lawrence,New Democratic Party,Allison,Tanzola
Elgin--St. Thomas--London South,People's Party of Canada,Stephen,Campbell
Elgin--St. Thomas--London South,Liberal Party of Canada,David,Goodwin
Elgin--St. Thomas--London South,Conservative Party of Canada,Andrew,Lawton
Elgin--St. Thomas--London South,New Democratic Party,Paul,Pighin
Essex,People's Party of Canada,Jason A. E.,Henry
Essex,Conservative Party of Canada,Chris,Lewis
Essex,Liberal Party of Canada,Chris,Sutton
Essex,New Democratic Party,Lori,Wightman
Etobicoke Centre,Liberal Party of Canada,Yvan,Baker
Etobicoke Centre,New Democratic Party,Ji Won,Jung
Etobicoke Centre,Conservative Party of Canada,Ted,Opitz
